IRIS;REVDISMED;MEN_TOT_2019;MEN_1PERS_2019;FAM_TOT_2019;FAM_2ENF_2019;FAM_3ENF_2019;FAM_4ENFPLUS_2019;PART_FAM_2ENF_2019;ACCESS;logaccessstand;trv50stand;distancestand;CAH_4;immo_2017;immo_2018;immo_2019;immo_2020;immo_2021;immo_nb_annees;immo_moy;immo_ECTYPE;immo_ECTYPE/MOY;immo_qualite
012480000;28060;866,077951;181,0445434;670,3541203;156,5790646;44,03786192;0;23,56321839;315;-1,141223589;-0,157909981;0,109110428;2;3070;2990;3012;3286;3717;5;3215;304,0986682;0,094587455;oui
012490000;24860;4138,798439;1356,412934;2777,41696;571,3827377;233,5216406;64,59109209;21,03365385;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
012490101;24860;1142,765475;432,2634624;705,5334674;144,0878208;59,62254654;19,87418218;19,65065502;12850;0,253138074;-0,05581018;-0,299783514;3;2578;2574;2912;3103;3146;5;2862,6;276,0594139;0,096436601;oui
012490102;24860;1699,242576;650,8794664;1048,36311;193,7732763;69,55963763;29,81127327;17,25146199;3186;-0,271206451;-0,05581018;-0,179712591;2;3079;3556;3477;3093;3543;5;3349,6;242,5403059;0,072408737;oui
012490103;24860;1296,790387;273,270005;1023,520382;233,5216406;104,3394564;14,90563664;27,20306513;5469;-0,068048984;-0,021776914;-0,190090891;2;3223;3527;3472;3642;3985;5;3569,8;278,0606049;0,077892488;oui
012500000;26310;686,9869039;110,0808663;571,4138268;150,1306516;43,46794408;9,304849676;29,77329792;179;-1,353727089;1,611819898;0,679951926;1;2577;2636;2656;2819;3213;5;2780,2;258,0362378;0,092812113;oui
012600000;26450;109,2763158;14,90131579;94,375;19,86842105;9,934210526;4,967105263;31,81818182;25;-2,093863336;0,590821891;0,860151789;1;2560;2685;1962;2718;2884;5;2561,8;354,6663221;0,138444188;oui
012610000;27120;261,1181873;47,73727209;213,3809152;30,96764987;20,46353319;5,00608121;21,61368568;105;-1,554288691;0,522755357;0,714460123;1;2701;2554;2903;3407;3108;5;2934,6;336,7689119;0,114758029;oui
012620000;22780;2965;1050;1895;410;140;60;20,71307301;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
012620101;22780;1390;360;1010;235;65;20;23,35766423;10771;0,186781267;-0,05581018;0,317616654;2;3354;2582;2829;3145;2989;5;2979,8;295,1215004;0,099040708;oui
012620102;22780;1575;690;885;175;75;40;18,41269841;3113;-0,279921598;-0,225976515;0,342869404;2;2120;2208;2706;2440;2421;5;2379;228,4381754;0,096022772;oui
012750000;29160;1037,735415;249,6776005;788,0520598;208,2324556;35,50662693;10,13324029;24,4642061;1350;-0,594052967;-0,123876714;-0,419167207;3;3146;2921;3803;3695;4170;5;3547;507,0123273;0,142941169;oui
