puissance_crete;surface;pente;pente_optimum;orientation;orientation_optimum;installateur;production_pvgis;lat;lon;postal_code
2880;21;20;32;Sud;1;SOLAIRO;3211;45.58;5.26;38300
2960;20;20;36;-10;2;Eco Alternatives;3321;46.25;5.21;1440
2996;18;25;37;25;-1;THERMO CONCEPT FOREZIEN;3312;46.08;4.05;42300
2960;21;25;;-60;-2;SWEETAIR ENERGIE;3311;45.26;5.86;38190
1620;15;20;;20;;ENERCOS technologies;0;45.49;4.94;38780
35520;250;5;;30;-1;Sunvoltaique;37460;45.63;5.56;38630
2960;22;20;36;5;0;Alt energies;3238;46.00;4.28;42630
2880;21;25;36;-15;0;jepac01;3336;45.69;5.43;38510
2996;18;20;37;-5;-1;R.Lepargneur;3457;45.78;4.70;69280
0;24;30;;60;;AFEE;0;45.47;4.52;42400
2862;15;45;36;5;1;a2 energie;3408;45.59;5.18;38080
2940;23;20;36;-60;-2;PhotoCapt;3083;45.58;4.63;69440
2400;13;20;37;90;1;123 Solaire;2413;45.76;4.96;69150
3000;22;20;37;Sud;0;ocealliance;3469;45.58;4.79;38670
2960;21;20;;-45;-4;EDF ENR;3038;45.51;4.53;42320
0;24;15;;-45;;Systema France;0;45.40;5.98;38530
2960;21;20;;-20;3;EDF ENR;3147;45.77;4.62;69210
33300;235;25;;30;-1;Sunvoltaique;37850;45.63;5.55;38630
3080;25;30;;45;;LEPARGNEUR;0;45.87;4.82;69250
3000;19;25;35;40;-2;"SES Solaire Energies Syst&egrave;mes";3409;45.54;5.18;38440
3000;25;20;;45;;a2 energie;0;45.54;5.44;38110
2996;18;20;36;85;1;solution soleil energie;2805;46.18;5.55;1460
7000;48;30;;-15;-1;Gallien;8089;45.65;4.98;69780
2880;24;20;;Sud;-1;DEXPORT;3297;45.45;4.81;38121
2996;18;30;38;Sud;-10;PHOTON ENERGIE;3398;45.28;5.88;38920
5000;35;40;;-10;;SWEETAIR ENERGIE;0;45.39;5.94;38660
2960;20;20;;10;7;LEPARGNEUR;3415;45.23;5.68;38120
2940;21;25;;-15;-1;123 Solaire;3273;45.73;4.90;69500
3000;26;25;;Sud;4;BSM Environnement;3593;45.30;5.64;38340
2590;18;20;;-5;;QUALI INSTALL;0;46.12;5.17;1960
1900;15;35;;-45;;Tenesol;0;45.65;4.79;69390
1380;22;35;;Sud;;SOLANE;0;45.73;4.89;69500
2880;21;25;37;-5;1;BAGLIONI;3405;45.82;4.76;69760
2960;20;30;36;Sud;0;inconnu;3448;45.54;5.53;38490
2880;23;10;36;-20;-1;H.G.;3010;46.00;4.12;42120
2500;17;20;;Sud;-1;AIR SOLAIRE;3076;45.47;4.79;69420
0;20;15;;45;;inconnue;0;45.76;4.66;69290
2996;18;20;35;Sud;-4;LEPARGNEUR;3333;45.74;4.52;69690
2880;13;20;37;-5;0;courant naturel;3315;45.68;4.79;69230
3000;25;20;37;Sud;1;LEPARGNEUR;3495;45.85;5.04;1120
2940;20;25;36;Sud;1;AGPG;3420;45.59;5.43;38110
3000;24;25;37;20;-1;SOLAIRE ATTITUDE;3429;45.32;5.55;38430
2880;21;20;36;-70;-1;SEROL;2888;46.01;4.11;42120
2996;18;20;36;Sud;-3;SUBSUN;3371;45.49;4.07;42560
3000;17;20;36;-65;-2;THERMO CONCEPT FOREZIEN;3206;45.63;5.05;38540
2220;16;25;36;Sud;1;Energia;2602;45.73;5.31;38460
2850;22;20;34;15;3;sol air confort;3076;45.37;4.29;42700
2880;25;20;37;Sud;0;eco pano;3455;45.40;4.86;38150
2960;22;20;37;15;-2;LEPARGNEUR;3336;45.84;4.60;69210
3000;21;30;36;Sud;1;Tenesol;3608;45.60;5.00;38540
2862;15;25;37;25;0;APE SUD;3275;45.62;4.74;69700
2996;23;20;;-75;0;fauche centre est;3088;45.59;4.29;42330
2996;23;20;;-35;;ENERCOS technologies;0;45.71;4.74;69630
2720;20;20;36;-40;2;CALEA Energies Renouvelables;2998;45.83;5.40;38390
33600;240;30;36;10;-4;sarl P .CHATTE;37779;45.06;5.27;38680
3000;25;35;36;15;1;Imerys;3446;46.17;5.31;1250
3000;25;30;;60;;Achard Charpente;0;45.63;4.79;69390
2960;13;30;;Sud;-7;TERRE D AVENIR;3351;45.61;5.53;38630
2960;18;20;;20;-1;LEPARGNEUR;3197;45.58;4.63;69440
2880;20;35;36;40;-2;VERDEN;3192;45.58;4.43;42140
2970;23;25;;10;-1;ENERCOS technologies;3299;45.65;4.25;42210
3040;21;35;;-45;;Solstice concept;0;45.55;4.18;42450
2940;20;20;;40;-1;CALEA Energies Renouvelables;3357;45.38;5.07;38270
2940;20;25;;Sud;;CALEA Energies Renouvelables;0;45.22;5.79;38240
2520;21;20;;90;;123 Solaire;0;45.55;5.00;38780
3000;24;25;;-10;-5;Alpes Bois developpement;3553;45.18;5.69;38600
2990;21;30;;-5;-2;"Soleil en T&ecirc;te";3424;45.67;5.42;38510
