puissance_crete;surface;pente;pente_optimum;orientation;orientation_optimum;installateur;production_pvgis;lat;lon;postal_code
3000;16;15;36;Sud;-1;ENERGIE HABITAT - ECORENOVE;3398;45.80;4.81;69450
2200;17;20;37;-45;-3;Sunwatt;2379;46.25;5.99;1630
2400;13;20;36;10;-2;"moi m&amp;amp;amp;amp;amp;amp;amp;amp;amp;ecirc;me";2636;45.41;4.29;42230
3000;25;40;37;-70;-2;Nouvelle Vague;2991;46.25;5.99;1630
500;3;35;36;10;1;AUCUN;578;46.25;4.91;1290
2400;20;20;36;45;-2;Solar Protect (n existe plus);2678;45.46;4.76;69420
3600;19;25;36;Sud;2;Sadeja;4127;46.19;5.20;1000
9000;60;30;36;Sud;2;Solartec;10404;46.33;5.18;1340
0;24;15;;Sud;;"Ecosyst&amp;amp;amp;egrave;me nouvelles &amp;amp;a";0;45.43;5.42;38690
3885;20;30;35;-5;-11;Inconnu ;4389;45.67;5.67;1300
1480;10;80;36;Sud;-1;Elececoenergie;1311;46.10;5.41;1450
2960;21;30;37;-45;-2;VIVALDI ENVIRONNEMENT;3268;45.99;4.62;69640
6160;44;60;37;25;0;avenir energie;6791;45.56;4.77;69700
1500;9;20;35;45;-2;Ricchi;1523;45.22;5.86;38420
3360;28;30;37;-5;-3;ATSUN ;3867;45.22;5.80;38330
2880;21;25;37;5;1;Soleil en Tete;3423;45.73;4.96;69680
2960;22;35;36;Sud;-2;lepargneur;3382;45.63;4.39;42140
2800;21;40;37;Sud;0;eliomax 69200;3347;45.67;4.81;69540
1260;20;15;36;15;2;ARTYS SOLAR - 7 Energies;1425;45.74;5.17;38230
2520;21;15;37;-45;0;Asp energies;2761;45.77;4.88;69100
2880;20;15;36;Sud;-1;ECO ENERGIE SYSTEMES;3162;46.22;4.67;69840
1560;10;20;37;-45;-1;non;1728;46.31;6.08;1170
11960;110;10;37;90;-1;DIY;12055;45.71;4.74;69630
5100;28;30;36;45;0;ISOWATT;5673;45.62;5.53;38630
3000;20;40;36;-90;-3;ARTEMIS CONCEPT;2654;45.48;4.45;42290
6300;60;30;37;45;-1;Artemis concept;6929;46.11;4.74;69220
3000;10;45;36;-45;1;Enovia;3290;45.60;5.44;38110
6000;30;30;34;-45;15;lumensol;6126;45.07;5.41;38680
3150;22;30;36;Sud;0;7 ENERGIES;3634;46.16;5.26;1250
2040;21;45;33;Sud;-2;EDF ENR;2300;45.23;5.95;38190
4500;30;20;37;-40;-1;thermoconcept forezien;4951;45.79;4.16;42110
6000;38;15;36;Sud;-3;LUMENSOL;6848;45.42;5.31;38260
1008;16;40;35;-45;1;les techniciens du solaire;1022;45.39;5.99;38570
3240;18;15;37;90;0;ERDS;3235;45.73;4.77;69340
1650;20;35;37;-140;1;Xx;1175;45.74;4.97;69680
3150;18;15;37;-10;1;RIE;3595;45.74;4.97;69680
2970;150;15;37;-160;0;superplombier;2585;45.69;4.94;69800
3250;18;30;36;10;2;SADEJA Solaire;3791;46.13;5.16;1960
3000;12;30;36;Sud;-1;RTS;3288;45.46;4.35;42390
5600;40;10;37;-20;0;NC;6123;45.77;4.78;69130
2940;22;20;37;-10;1;APESUD;3409;45.87;4.85;69250
1152;24;15;36;45;-2;SolR Elec;1249;45.15;5.31;38160
6000;33;15;36;60;-2;Rhone Solaire Pro;5974;45.50;4.57;42420
0;13;25;;90;;CPAE;0;45.39;5.50;38140
1224;20;20;36;45;2;sarl SOL ENERGY;1348;45.83;5.21;1800
2700;21;30;37;-5;-1;captelia;3168;45.87;4.67;69380
2960;22;45;37;Sud;-2;NVLENERGIE;3377;46.19;3.91;42310
2160;16;20;36;-90;0;air solaire;2079;45.54;4.61;42800
2100;16;30;37;-95;1;SOLERINE Energie;1978;45.87;4.91;1700
960;20;25;37;-20;0;FRANCE SOLAIRE;1104;46.24;6.02;1630
6300;32;50;38;30;-11;Sowatt;7141;45.30;5.87;38660
3000;30;30;37;90;1;Alpsoleil ;2972;45.44;4.77;38370
3050;15;20;36;45;0;AGPG;3467;45.25;5.77;38700
1200;6;35;36;Sud;-13;moi meme;1443;45.16;5.68;38170
2880;20;20;36;-160;3;solar total;2317;45.92;5.34;1150
9240;60;20;36;45;-3;Artemis;9666;45.50;4.54;42320
1850;6;25;36;45;0;Energia ;2050;45.63;5.57;38630
3000;19;20;36;80;3;ecorenove;3066;45.92;5.34;1150
3360;19;25;34;Sud;-11;toto;3483;45.25;5.93;38190
2940;23;30;36;Sud;0;photocapt;3527;45.62;4.87;69360
675;37;35;38;Sud;-11;Moimeme;771;45.28;5.88;38190
1800;9;25;37;115;0;Rconfort;1582;46.01;4.75;1480
5886;29;30;35;5;-8;Watt et Home;6481;45.29;5.48;38210
2820;20;20;36;-180;2;Savoie Solaire;2283;45.56;4.91;38200
1220;15;45;37;Sud;-1;tenesol;1440;45.72;4.69;69126
2943;14;20;36;Sud;1;capeco;3406;45.65;4.84;69360
3000;23;10;37;-90;-6;ECORENOVE;3073;45.18;5.70;38000
5400;30;30;36;45;1;Isowatt;5934;46.28;4.92;1290
2700;24;30;36;Sud;-4;Nsp;3135;45.56;4.66;42800
2970;24;25;36;-10;-2;Pienergies;3466;45.29;5.62;38340
3000;16;15;37;Sud;-1;protecenergy;3318;46.11;4.73;69220
1400;20;20;36;-45;-3;EcoEnvironnement-Renov France;1463;45.53;4.56;42800
2568;20;15;36;45;0;Bch;2826;45.66;4.89;69960
2800;20;30;37;45;-3;APESUD;3023;46.12;4.62;69430
2970;25;30;36;-10;-7;LEPARGNEUR;3478;45.14;5.70;38130
1860;12;20;37;75;1;Moi;1945;45.87;4.85;69250
1760;30;25;36;35;-3;inconnu;1885;45.25;5.89;38190
2940;23;15;37;Sud;-1;ERDS;3244;45.77;4.09;42110
6000;30;25;36;10;2;sans;7101;45.64;5.01;69780
2000;11;35;35;Sud;19;Autoconstruction;2893;45.95;5.61;1110
3000;17;20;36;-90;2;Solution Soleil Energie;2906;46.21;5.11;1310
2100;13;20;36;60;0;vent solaire;2274;45.60;4.84;69360
2640;13;35;37;-75;-1;edf enr;2570;46.07;4.06;42300
6000;40;20;36;-70;0;a l eau solaire;6280;45.59;5.22;38080
9000;52;20;36;-85;1;Solution Soleil Energie;9036;45.99;4.90;1330
29250;218;15;37;Sud;-2;solar developpement;33103;45.87;4.82;69250
2960;22;20;37;Sud;-3;solaire sipn;3293;45.32;5.54;38430
1620;10;20;36;Sud;-2;Autoconstruction;1838;45.10;5.24;38840
0;12;30;;Sud;;?;0;45.45;4.08;42380
6120;60;30;36;15;-1;rts;7073;45.34;5.37;38590
10000;60;25;36;Sud;-1;pcim;11871;45.59;5.02;38540
9000;50;30;37;30;-2;ID ELEC;10105;46.23;5.97;1710
2880;21;35;37;Sud;-6;prosoleil;3503;45.19;5.69;38600
900;5;25;35;-60;0;PCI-m;912;45.38;4.28;42700
2320;14;20;36;-180;-1;Groupe Solution Energie;1805;45.52;4.61;42800
5220;30;15;36;Sud;-2;GSE COMFORT SOLUTION ENERGIE;5642;45.38;5.64;38960
2940;18;20;36;Sud;2;eco alternative;3384;45.86;5.22;1800
2500;16;45;37;-145;0;Habitat enr ;1509;45.77;4.76;69130
2400;12;30;36;-45;-3;moi;2701;45.70;4.81;69310
9000;62;15;36;15;5;Solution soleil energie;10175;45.90;5.17;1800
2590;20;25;36;Sud;1;Ne sais pas;3063;45.61;5.14;38090
2880;30;35;36;45;3;LEPARGNEUR;3309;45.58;5.08;38790
3000;23;40;37;90;1;ECORENOVE;2818;45.87;4.91;1700
6250;40;30;36;-10;-2;ENEOPRO;7020;45.88;3.82;42430
2940;20;20;37;-175;1;solaire direct;2358;45.78;5.00;69330
2500;20;20;36;5;2;Airsolaire;2787;46.28;5.29;1370
3000;18;30;33;-20;7;ECORENOVE;3125;45.06;5.83;38220
1920;16;15;36;-45;0;evasol;2044;45.84;4.41;69170
2940;16;35;;30;;FL Energie;0;45.51;4.53;42320
2200;20;20;;-5;;Travo d Avenir;0;45.59;4.80;69360
3000;28;15;37;45;0;bois devlopement;3381;45.35;5.10;38260
2625;22;20;;25;;ENERCOS technologies;0;45.52;4.60;42800
3000;24;25;35;80;-2;Conergy;2867;45.43;4.33;42230
2800;24;20;;90;;MDA ENERGIE NOUVELLE;0;45.66;4.03;42600
2325;125;20;;20;;"abc &eacute;nergie solaire";0;45.64;4.04;42600
672;21;30;;50;;Evasol;0;45.92;4.59;69620
1100;10;25;;-25;;SUNWATT;0;45.83;4.97;1700
2450;19;20;35;-5;-2;ENERCOS technologies;2650;45.42;4.30;42230
2875;25;35;;-70;;A l Eau Solaire;0;45.64;5.19;38290
3000;22;40;37;85;-8;Fe Solar;2696;45.45;5.99;38530
2800;21;25;37;-90;-2;PHOTON TECHNOLOGIES;2744;45.77;4.66;69290
2880;20;40;;10;0;SWEETAIR ENERGIE;3579;45.39;5.62;38960
2940;21;25;;-65;;ENERCOS technologies;0;45.95;5.18;1800
2940;18;20;36;10;-2;"SES Solaire Energies Syst&egrave;mes";3269;45.80;4.53;69690
2450;22;20;;70;;ENERCOS technologies;0;45.53;4.61;42800
2400;21;20;;-40;1;SOL R ELEC;2854;45.15;5.34;38160
2996;23;20;37;30;-1;ENERCOS technologies;3309;45.77;4.26;42110
2940;20;20;37;50;-1;"SES Solaire Energies Syst&egrave;mes";3168;45.97;4.69;69400
2990;16;20;36;95;-2;FL  Energie Sarl;2830;45.56;4.28;42340
378;1;0;;-75;;neant;0;45.43;6.01;38530
2880;29;20;;Sud;-1;R. LEPARGNEUR;3479;45.58;4.69;69700
2760;18;30;36;Sud;1;"SES Solaire Energies Syst&egrave;mes";3322;45.55;5.01;38780
3000;21;35;36;Sud;1;DELTASUD;3478;46.26;4.91;1290
2970;27;20;;50;;a2 energie;0;45.91;5.21;1800
2800;21;25;36;10;-3;EDF ENR;3163;45.95;4.53;69620
2970;25;20;37;30;1;S comme solaire;3381;45.93;4.81;1600
2996;18;25;37;-45;-1;FL Energie;3280;45.82;4.20;42510
3000;25;25;36;15;2;R.LEPARGNEUR;3574;45.58;5.08;38790
3000;24;25;;50;1;SOL R ELEC;3553;45.14;5.80;38320
2100;20;30;;Sud;;sweeatair;0;45.39;5.96;38530
2700;21;20;37;-15;-2;Evasol;3121;45.81;4.75;69570
1860;16;25;;45;-1;SWEETAIR ENERGIE;2147;45.43;5.43;38690
2940;21;40;37;Sud;0;"SES Solaire Energies Syst&egrave;mes";3485;45.62;5.52;38630
4800;48;20;;-25;;solaris energie solaire;0;45.60;4.61;69440
5130;32;30;36;-90;2;lumensol et isowatt;4874;45.89;5.34;1150
2400;34;20;35;-50;-4;123 Solaire;2461;45.45;4.44;42650
2700;18;15;;-10;0;R. LEPARGNEUR;2675;45.48;4.57;42740
2970;23;15;37;-10;0;Superplombier;3377;45.69;4.90;69200
2970;24;20;;30;;SOLANE;0;45.59;5.22;38080
2940;24;35;;Sud;;ABC ENERGIES;0;45.39;4.23;42240
2996;18;20;37;10;0;ENERCOS technologies;3533;45.48;4.77;69420
1750;14;40;36;Sud;-1;SWEETAIR ENERGIE;2052;45.33;5.26;38870
3000;22;20;36;-30;-3;ENERCOS technologies;3198;45.54;4.59;42800
3400;37;20;;-45;;TOTAL ENERGIE;0;45.63;4.64;69440
2520;18;30;;70;;charvet /didier merle;0;45.40;5.70;38380
2100;16;30;;30;-1;ELIOMAX;2581;45.65;4.94;69780
2996;19;35;37;-45;-2;THERMO CONCEPT FOREZIEN;3247;46.07;3.95;42640
2800;21;30;36;Sud;1;PHOTON TECHNOLOGIES;3286;46.13;4.96;1400
3000;22;20;;Sud;-6;Electricite FESSY BIOSSET;3055;46.09;3.88;42820
2880;22;30;;20;-2;Amisoler;3102;45.27;5.87;38920
3000;29;35;35;15;-5;"Soleil en T&ecirc;te";3447;45.31;5.26;38870
2996;18;20;;-40;;ENERCOS technologies;0;45.55;4.80;69700
2000;16;35;;Sud;-1;Eco-Energie Systemes;2386;45.94;4.22;42470
2970;25;25;;Sud;;Soalis;0;45.34;4.83;38150
3000;25;35;;-85;;LEPARGNEUR;0;45.75;4.73;69290
0;24;20;;30;;A l Eau Solaire;0;45.61;5.33;38300
2160;18;35;36;90;1;Vent solaire applications;2092;45.56;5.16;38090
2790;21;20;;40;;IDEOSUN;0;45.36;4.36;42660
2550;25;20;36;Sud;-5;SOL R ELEC;2760;45.29;5.49;38210
2340;18;30;;-5;;Superplombier;0;45.38;4.77;38550
2160;21;30;;80;;MCO SUN (LFE);0;45.77;4.68;69280
3000;24;25;36;5;-2;FAUCHE centre EST;3399;45.52;4.25;42160
2200;20;20;;Sud;;"Solha&iuml;c";0;45.64;4.80;69390
2460;18;20;36;Sud;-2;ENERCOS technologies;2781;45.18;5.76;38400
2880;24;30;36;-45;-2;ARC Habitat;3157;45.12;5.77;38320
2940;23;30;;Sud;;VMA ENVIRONNEMENT;0;45.39;5.48;38140
2996;18;25;36;-20;2;PHOTON ENERGIE;3435;45.58;5.32;38300
2775;21;40;;Sud;;BIO SOL Air;0;44.95;5.74;38770
2960;25;20;;-30;;A l Eau Solaire;0;45.68;4.53;69850
3000;25;20;;35;;Au Soleil De France;0;45.36;4.66;42520
3100;27;20;;-20;;ENERCOS technologies;0;45.50;4.72;69420
2800;21;20;37;-15;0;ELIOMAX;3245;45.80;4.88;69140
3150;25;20;;30;;ENERCOS technologies;0;45.41;4.79;38550
1620;11;70;35;-5;-2;MJF;1507;45.43;4.40;42100
2520;15;30;36;5;1;PHOTON ENERGIE (38 st savin);2985;45.62;5.46;38890
2940;18;30;37;90;1;123 Solaire;2865;45.75;4.94;69150
3000;25;20;;-20;;R. LEPARGNEUR;0;45.75;4.72;69290
2520;18;20;37;25;-2;EODIS;2866;45.76;4.66;69290
3000;20;25;;10;-1;jp;3252;45.29;5.49;38210
2100;20;25;;15;;SWEETAIR ENERGIE;0;45.41;6.09;38580
9010;68;20;37;-5;-1;EMS;10398;45.74;4.75;69340
2940;22;30;37;-90;0;Evasol;2812;46.01;4.75;1480
2940;20;25;;10;;AQTB;0;45.29;5.49;38210
2100;14;25;;-5;;Electro Energie Diffusion;0;45.88;4.77;69380
2000;20;25;36;20;2;solaris energie solaire;2318;45.61;5.33;38300
2940;23;20;36;-45;-5;Capt en;3189;46.23;5.96;1710
2450;18;30;36;Sud;-3;SWEETAIR ENERGIE;2732;45.14;5.80;38320
2160;21;25;;15;;Avenir Solaire;0;45.75;5.29;38460
2880;24;20;35;-10;-9;SOL R ELEC;3257;45.40;5.56;38850
2880;21;20;37;-15;1;Solaris-enr;3349;45.70;5.03;69720
3000;25;20;;-70;;R. LEPARGNEUR;0;45.70;4.97;69800
2300;14;45;38;20;-19;AQTB;2529;45.34;5.90;38660
2880;24;20;;20;;"Solha&iuml;c";0;45.59;4.90;38200
2960;21;30;37;20;-1;TENDANCES ECO HABITAT;3340;46.13;4.03;42640
2996;24;35;33;20;3;DISPARU;3449;45.01;5.76;38220
2520;15;45;37;-5;-2;"SES Solaire Energies Syst&egrave;mes";2994;45.38;5.53;38140
3000;30;20;37;-35;-3;Sol R Elec;3422;45.25;5.84;38330
2160;15;20;38;10;-18;AQTB;2400;45.34;5.90;38660
2880;21;20;37;-20;-2;ERDS;3263;45.63;4.68;69440
2800;21;20;37;-10;-3;BS AUTOMATION;3163;45.52;4.06;42560
1000;10;25;37;Sud;1;?;1188;45.70;4.93;69800
2880;24;20;37;-10;2;INTI PRO CONCEPT;3313;45.90;5.19;1800
3150;23;25;;Sud;-2;Eco Alternatives;3412;45.27;5.87;38920
2880;25;35;37;Sud;-7;SWEETAIR ENERGIE;3289;45.26;5.87;38190
2760;17;20;37;-15;-1;"SES Solaire Energies Syst&egrave;mes";3057;46.06;5.37;1160
2520;21;20;;75;;INTI PRO CONCEPT;0;45.99;5.16;1320
3600;20;10;37;50;-6;Oscaro Energy;3635;45.26;5.88;38190
2880;24;20;36;90;1;SOLHAIC;2891;45.65;4.95;69780
4800;31;25;36;20;9;Lumensol;5601;45.22;5.68;38120
2040;20;30;36;45;-1;Solar energie;2215;45.52;4.61;42800
1920;10;20;33;40;6;moi;1928;45.21;5.85;38420
1850;18;35;36;30;-2;SolarFranck;2027;45.94;3.80;42830
2240;13;30;38;Sud;0;Popsun;2696;45.83;5.71;1350
9000;57;20;36;Sud;-3;ISOWATT;10174;45.70;4.59;69510
1320;25;25;36;-30;10;pienergies;1468;45.22;5.68;38120
3000;15;30;37;-5;-4;AB service;3535;46.34;6.12;1220
2996;18;30;37;-70;1;genie thermie;3144;45.72;5.00;69740
2970;24;15;37;Sud;0;"soleil en t&amp;amp;ecirc;te";3328;46.07;4.75;1090
3600;19;15;37;Sud;-2;ecorenove;3825;46.26;5.66;1100
2970;23;30;37;-5;-5;SOGELEC 73 rue des Javaux   38320-Eybens;3609;45.19;5.69;38600
4900;32;40;36;45;1;auto-constructeur;5483;45.75;5.17;38230
9000;59;15;36;-90;0;ISOWATT;8962;45.51;5.41;38690
2400;8;20;36;Sud;0;Effy;2741;45.51;5.45;38730
2943;15;25;36;-60;-2;PCIM;3037;45.40;4.28;42700
9000;40;20;36;-45;-8;isowatt;9391;45.79;3.84;42111
3000;20;35;36;-30;2;DMS;3437;45.76;5.19;38230
3000;44;10;36;20;-9;energissimo;3255;45.22;5.77;38700
3000;20;20;36;45;1;Edf enr;3387;45.58;4.91;38200
1800;9;30;37;-85;0;netad;1773;45.77;4.87;69100
2520;28;15;36;-45;5;B TECH  ;2748;45.79;5.03;69330
3100;16;30;36;35;8;FE Solar;3579;45.25;5.66;38120
3450;21;15;36;45;2;solair direct;3739;46.12;5.16;1960
2120;13;20;36;-25;-12;Autoconstructeur;2373;45.33;5.48;38140
3000;16;35;36;30;1;moi;3537;45.59;5.12;38090
1950;18;30;36;Sud;1;soleil en tete;2305;45.67;5.40;38510
2880;20;45;37;Sud;-1;edf;3259;46.06;4.07;42300
3000;17;60;36;45;1;Lumensol;3084;45.55;5.64;38480
2220;25;25;37;-90;1;Ultimate Solar, Ludivine Energie;2182;45.76;4.95;69150
3000;18;30;36;-30;-2;artemis concept;3314;45.21;5.41;38470
1708;15;35;36;-90;0;tenesol;1627;45.66;4.95;69780
2500;10;30;36;10;-2;ENR HABITAT;2836;45.81;4.58;69210
960;20;30;34;Sud;4;SOLWATT ;1077;45.18;5.79;38610
2960;21;15;36;-45;-13;ENERGIA;3088;46.04;3.91;42370
3000;18;20;37;Sud;1;GSDF;3508;45.76;4.96;69150
3000;15;15;36;-90;2;les techniciens du solaire;2962;45.57;4.70;69700
3600;15;30;36;-90;2;MOI;3371;46.12;5.19;1240
2000;15;25;36;80;2;evasol;1994;45.80;4.62;69210
3000;16;15;37;Sud;-3;ALTERNAWATT;3341;45.60;4.08;42600
6240;40;45;36;-90;1;Lumensol;5616;45.59;5.43;38110
9000;50;40;34;40;3;Role Energies;9878;44.83;5.93;38970
39480;265;20;35;Sud;-6;BS AUTOMATION;42608;45.75;3.94;42130
28800;1200;10;37;100;1;"l &amp;eacute;lectricit&amp;eacute; SCOP";28894;45.74;4.90;69500
2400;17;15;36;15;-2;ENERCOS technologies;2751;45.43;4.68;42410
1980;15;30;;45;;ID ELEC;0;46.24;5.97;1710
2800;21;20;;30;-8;Eco Alternatives;3138;45.84;4.49;69490
1980;15;20;;Sud;;Pi energies;0;45.24;5.67;38120
0;23;15;;-45;;Mecamidi;0;45.39;4.77;38550
2850;20;30;37;Sud;0;Electro Energie Diffusion;3340;45.84;4.69;69380
2000;16;45;38;-5;-17;AQTB;2415;45.31;5.88;38660
2700;19;35;;45;;123 Solaire;0;45.28;5.84;38660
2880;24;25;36;20;-3;EPB - Jacky GACON;3269;45.53;5.52;38490
2880;23;25;;80;;Solaire Direct;0;45.43;4.32;42230
2940;23;25;36;35;-14;ENERCOS technologies;3176;45.37;5.49;38140
2990;18;30;;5;;R. LEPARGNEUR;0;45.53;5.58;38490
2970;23;20;;60;-1;Bresse energie renouvelable;3013;46.29;5.15;1340
2040;16;40;35;-15;19;SOLAIRE ATTITUDE;2223;45.25;5.74;38950
2970;25;30;36;-50;3;A l Eau Solaire;3226;45.69;5.21;38460
3000;15;25;37;-95;-1;enr watt;2875;45.67;4.70;69510
2520;15;25;37;-40;0;123 Solaire;2849;45.79;4.78;69130
2000;16;20;37;45;-2;TOUT EN SOLEIL;2212;45.79;4.78;69410
2940;20;30;37;45;-4;ENERCOS technologies;3148;45.24;5.83;38330
2960;25;20;37;-45;0;"Soleil en T&ecirc;te";3275;46.02;4.84;1480
2880;24;20;;-35;2;SOL R ELEC;3210;45.41;5.55;38850
2800;21;20;37;20;-1;PHOTON TECHNOLOGIES;3194;45.65;4.72;69530
2940;18;20;;-60;-2;123 Solaire;2953;45.83;4.65;69210
3000;30;25;37;-15;-1;CPAE;3534;45.39;5.49;38140
1650;13;25;37;-10;0;ID ELEC;1934;46.30;6.08;1210
2520;19;20;;-75;;Solutions Soleil Energie;0;45.74;4.96;69680
1800;21;30;;Sud;-18;SWEETAIR ENERGIE;2071;45.10;5.66;38760
2940;23;20;36;20;1;ENERCOS technologies;3389;45.60;4.82;69360
2940;22;25;36;80;0;Evasol;3002;45.61;4.83;69360
2940;24;20;36;30;0;ARTIS EN SOLAIRE;3206;45.49;4.26;42170
3000;22;25;37;45;1;Thermatec/ALTESOL;3407;45.77;5.00;69330
2672;21;30;36;10;-2;alp sun;3133;45.11;5.72;38800
1840;13;20;36;-20;3;a2 energie;2100;45.93;5.22;1800
2940;18;30;;10;;PHOTON ENERGIE;0;45.64;5.41;38890
1200;12;15;36;45;0;Eco Alternatives;1320;45.66;4.88;69960
2640;20;20;;10;;123 Solaire;0;45.46;4.52;42400
3010;23;20;36;-10;-2;DELTASUD;3345;45.77;4.54;69690
3000;23;20;;-80;;123 Solaire;0;45.48;4.57;42740
2940;24;30;37;35;0;123 Solaire;3403;45.73;4.86;69008
2550;20;30;37;-90;-4;123 Solaire;2398;46.10;5.53;1430
2970;23;20;37;20;-8;Argivelec :-(;3228;45.27;5.87;38920
2940;24;20;37;-90;-1;123 Solaire;2896;45.82;4.67;69210
4400;20;20;;-70;;solstice sarl;0;46.13;5.66;1130
2640;20;20;37;-50;1;123 Solaire;2920;45.84;5.04;1120
2860;22;20;36;20;0;123 Solaire;3295;45.66;4.89;69960
2940;23;25;;-60;-5;SWEETAIR ENERGIE;3404;45.27;5.84;38190
2100;25;20;37;10;0;123 Solaire;2387;45.91;4.78;69650
2950;17;25;37;-5;-2;a2 energie;3466;45.37;5.53;38140
2970;23;15;36;-5;-7;Watt et Home;3149;45.29;5.48;38210
2160;16;25;36;Sud;3;123 Solaire;2509;45.69;5.21;38460
2880;21;25;36;85;0;GENELEC MORIN;2834;45.54;5.50;38110
2940;18;20;37;40;-2;ENERCOS technologies;3281;45.22;5.78;38240
2700;22;10;35;-20;-8;GSOLR;2920;45.62;4.75;69700
2960;22;30;;-90;;Futur elec;0;45.93;4.81;1600
1980;17;20;;20;;123 Solaire;0;45.68;5.04;69720
2100;20;25;;Sud;;SWEETAIR ENERGIE;0;45.14;5.26;38160
2990;25;20;;20;;"BIOSSET.F &amp;eacute;lectricit&amp;eacu";0;46.14;3.86;42310
15400;110;90;;15;;INTI PRO CONCEPT;0;45.85;5.11;1360
2880;22;15;36;40;-8;Solutions Soleil Energie;3046;45.81;4.49;69690
2925;22;20;36;10;-5;ENERCOS technologies;3330;45.23;5.33;38470
2940;19;20;;-60;;ENERCOS technologies;0;45.52;4.58;42800
2940;18;20;37;45;-8;www.Pienergies.com;3062;45.25;5.85;38330
2940;18;20;37;65;-2;123 Solaire;3067;45.88;4.69;69480
2400;23;30;37;-45;-1;Evasol;2705;45.76;4.83;69001
2970;24;20;36;Sud;1;SOLANE;3239;46.03;4.29;69240
2940;22;25;38;Sud;-3;ENERCOS technologies;3262;46.29;5.67;1100
2730;21;20;;20;;ENERCOS technologies;0;45.61;5.16;38090
2970;23;20;36;-20;0;"Servignat Eco &eacute;nergies";3338;45.97;5.35;1500
3000;22;20;;40;;Evasol;0;45.99;4.06;42120
3000;19;35;36;-15;1;"Solaire Energie Syst&amp;amp;amp;amp;amp";3506;45.58;5.44;38110
2990;21;25;36;-50;2;a2 energie;3274;45.94;5.32;1500
3000;22;20;35;50;27;disparu;3222;45.02;5.71;38450
13275;100;20;;-20;0;ADEISS / ALTERIA;14878;45.55;4.97;38780
2940;19;30;;Sud;-4;ENERCOS technologies;3409;45.46;5.05;38440
1230;17;25;;50;-2;123 Solaire;1316;45.79;4.78;69410
2616;19;20;;-20;0;ARTIS EN SOLAIRE;2826;45.53;4.61;42800
1760;14;25;37;90;0;Electro Energie Diffusion;1702;45.98;4.72;69400
3000;17;20;36;-5;1;Energissimo;3509;45.63;5.06;38540
2790;28;30;;-50;;Domatherme;0;44.95;5.59;38650
2996;18;20;36;-80;2;R. LEPARGNEUR;3077;45.60;4.87;69360
2970;23;15;;-20;;AERS;0;45.86;3.95;42260
2940;18;25;36;-15;1;http://www.tfb-solaire.fr;3438;45.73;5.18;38230
2300;14;35;36;Sud;-2;"SES Solaire Energies Syst&egrave;mes";2550;45.42;5.73;38380
2720;21;30;36;Sud;2;Soleil Plus Energies Renouvelables;3114;45.65;4.33;42140
2940;18;20;;60;;"SES Solaire Energies Syst&egrave;mes";0;45.42;4.81;38550
2100;15;45;37;95;5;ECO LOGIQUE;1833;45.79;5.68;1300
2800;24;25;36;60;-1;sarl ROLHION ELETRICITE;2879;45.41;4.29;42230
2450;18;20;36;-30;-9;S comme solaire;2754;45.29;4.55;42220
3000;25;20;;Sud;-1;SOLANE;3658;45.77;5.00;69330
2090;20;45;;Sud;;Haut Jura Energies;0;45.85;5.29;1150
2940;23;20;38;-30;-11;a2 energie;3222;45.29;5.89;38920
2996;20;25;36;-10;-4;AUTO INSTALLATION;3304;45.29;5.49;38210
2100;16;20;;15;-1;Evasol;2353;45.72;5.00;69740
2300;23;20;;90;;"Solaris - Tr&amp;eacute;voux (01)";0;45.87;4.84;69250
2880;22;20;37;-10;0;"Solha&iuml;c";3351;45.81;4.88;69140
2940;20;15;;Sud;;ENERCOS technologies;0;45.62;4.84;69360
3000;26;25;;-100;;"Soleil en T&ecirc;te";0;45.91;5.33;1150
2940;20;20;37;70;-1;A l Eau Solaire;3081;45.73;4.73;69340
2600;21;20;34;45;0;VIECO;2632;45.40;4.36;42150
2990;18;20;35;-40;2;R. Lepargneur;3131;46.02;4.25;42840
9200;55;20;37;-10;1;R. LEPARGNEUR;10721;45.79;5.04;69330
2960;20;20;37;-35;0;ALDER/ LEPARGNEUR;3336;45.98;4.82;1600
3000;22;20;37;-90;-1;APE SUD;2967;45.72;4.70;69126
2996;18;15;;-10;;123 Solaire;0;45.99;4.77;1480
2616;17;20;34;-40;1;ARTIS EN SOLAIRE;2637;45.44;4.35;42530
2760;17;20;37;-5;1;123 Solaire;3225;45.74;4.96;69680
1350;12;30;36;15;3;"SES Solaire Energies Syst&egrave;mes";1604;45.44;5.38;38690
2880;27;20;;5;0;Au Soleil De France;3552;45.51;5.07;38440
3000;23;25;37;Sud;1;SADEJA SOLAIRE;3550;45.79;5.12;38280
3040;24;20;;Sud;-1;SADEJA SOLAIRE;3451;45.65;4.79;69390
1200;25;20;;-90;;Alpes Bois developpement;0;45.35;5.31;38590
2940;23;30;;-50;;Reyes industrie;0;45.35;5.60;38500
2625;19;20;37;-20;-9;Pi energies;2907;45.27;5.86;38190
3000;23;20;;Sud;;7 ENERGIES;0;46.43;5.26;1270
2520;19;20;36;45;1;VMA ENVIRONNEMENT;3696;45.53;5.18;38440
2940;20;25;37;-15;-1;a2 energie;3429;45.79;4.71;69890
3150;23;35;36;-20;-18;Hydelec Solar;3584;45.05;5.49;38250
2990;18;20;;35;6;ENERCOS technologies;3065;45.46;4.59;42740
